fake_year,id,date,precip,max_temp_degF,min_temp_degF,new,depth_in,timestamp,year,month,week,julian_day,winter_day,winter,daily_percent_rank,percentile_label
1990-11-23,8910,1979-11-23,0,50,40,0,0,2002-10-10T12:46:18Z,1979,11,47,327,77,1979-1980,0,Percentile: 0
1990-11-23,9276,1980-11-23,0,32,20,0,26,2002-10-10T12:46:18Z,1980,11,47,328,78,1980-1981,0.9523809523809523,Percentile: 95.2
1990-11-23,9641,1981-11-23,0.43,18,13,5,30,2002-10-10T12:46:18Z,1981,11,47,327,77,1981-1982,0.9682539682539683,Percentile: 96.8
1990-11-23,10006,1982-11-23,0.55,43,37,0,0,2002-10-10T12:46:18Z,1982,11,47,327,77,1982-1983,0,Percentile: 0
1990-11-23,10371,1983-11-23,0,31,20,0,10,2002-10-10T12:46:18Z,1983,11,47,327,77,1983-1984,0.5079365079365079,Percentile: 50.8
1990-11-23,10737,1984-11-23,0.13,22,15,1,12,2002-10-10T12:46:18Z,1984,11,47,328,78,1984-1985,0.6349206349206349,Percentile: 63.5
1990-11-23,11102,1985-11-23,0.3,26,15,3,3,2002-10-10T12:46:18Z,1985,11,47,327,77,1985-1986,0.2857142857142857,Percentile: 28.6
1990-11-23,11467,1986-11-23,0,30,15,0,13,2002-10-10T12:46:18Z,1986,11,47,327,77,1986-1987,0.6984126984126984,Percentile: 69.8
1990-11-23,11832,1987-11-23,0,35,6,0,5,2002-10-10T12:46:18Z,1987,11,47,327,77,1987-1988,0.38095238095238093,Percentile: 38.1
1990-11-23,12198,1988-11-23,0,22,19,0,18,2002-10-10T12:46:18Z,1988,11,47,328,78,1988-1989,0.8095238095238095,Percentile: 81
1990-11-23,12563,1989-11-23,0,16,1,NA,20,2002-10-10T12:46:18Z,1989,11,47,327,77,1989-1990,0.8571428571428571,Percentile: 85.7
1990-11-23,12928,1990-11-23,0.46,44,30,NA,17,2002-10-10T12:46:18Z,1990,11,47,327,77,1990-1991,0.7936507936507936,Percentile: 79.4
1990-11-23,13293,1991-11-23,0.09,42,34,0,0,2002-10-10T12:46:18Z,1991,11,47,327,77,1991-1992,0,Percentile: 0
1990-11-23,13659,1992-11-23,1.18,43,36,0,1,2002-10-10T12:46:18Z,1992,11,47,328,78,1992-1993,0.12698412698412698,Percentile: 12.7
1990-11-23,14024,1993-11-23,0,30,23,0,3,2002-10-10T12:46:18Z,1993,11,47,327,77,1993-1994,0.2857142857142857,Percentile: 28.6
1990-11-23,14389,1994-11-23,0.24,19,-1,3,3,2002-10-10T12:46:18Z,1994,11,47,327,77,1994-1995,0.2857142857142857,Percentile: 28.6
1990-11-23,14754,1995-11-23,0.12,18,12,1,11,2002-10-10T12:46:18Z,1995,11,47,327,77,1995-1996,0.5555555555555556,Percentile: 55.6
1990-11-23,15120,1996-11-23,0.03,20,11,0.2,11,2002-10-10T12:46:18Z,1996,11,47,328,78,1996-1997,0.5555555555555556,Percentile: 55.6
1990-11-23,15485,1997-11-23,0.16,24,17,1.3,14,2002-10-10T12:46:18Z,1997,11,47,327,77,1997-1998,0.7142857142857143,Percentile: 71.4
1990-11-23,15850,1998-11-23,0,41,20,0,12,2002-10-10T12:46:18Z,1998,11,47,327,77,1998-1999,0.6349206349206349,Percentile: 63.5
1990-11-23,16215,1999-11-23,0,48,44,0,11,2002-10-10T12:46:18Z,1999,11,47,327,77,1999-2000,0.5555555555555556,Percentile: 55.6
1990-11-23,16548,2000-11-23,0.21,9,3,4,19,2002-10-10T12:46:18Z,2000,11,47,328,78,2000-2001,0.8253968253968254,Percentile: 82.5
1990-11-23,16884,2001-11-23,0,34,25,0,1,2002-10-10T12:46:18Z,2001,11,47,327,77,2001-2002,0.12698412698412698,Percentile: 12.7
1990-11-23,17230,2002-11-23,2.62,36,12,5,24,2002-11-23T18:30:04Z,2002,11,47,327,77,2002-2003,0.8888888888888888,Percentile: 88.9
1990-11-23,17585,2003-11-23,0,51,34,0,11,2003-11-23T19:30:08Z,2003,11,47,327,77,2003-2004,0.5555555555555556,Percentile: 55.6
1990-11-23,18292,2005-11-23,0.65,18,3,6,15,2005-11-23T18:30:07Z,2005,11,47,327,77,2005-2006,0.7619047619047619,Percentile: 76.2
1990-11-23,18653,2006-11-23,0,45,30,0,0,2006-11-23T19:30:18Z,2006,11,47,327,77,2006-2007,0,Percentile: 0
1990-11-23,18873,2007-11-23,0.21,41,4,4,24,2007-11-23T18:30:01Z,2007,11,47,327,77,2007-2008,0.8888888888888888,Percentile: 88.9
1990-11-23,19233,2008-11-23,0.13,10,0,1,12,2008-11-23T20:30:02Z,2008,11,47,328,78,2008-2009,0.6349206349206349,Percentile: 63.5
1990-11-23,19810,2009-11-23,0,39,29,0,0,2009-11-23T18:30:01Z,2009,11,47,327,77,2009-2010,0,Percentile: 0
1990-11-23,20164,2010-11-23,0.06,46,38,0,2,2010-11-23T18:30:20Z,2010,11,47,327,77,2010-2011,0.20634920634920634,Percentile: 20.6
1990-11-23,20529,2011-11-23,0.84,27,20,8,8,2011-11-23T18:30:02Z,2011,11,47,327,77,2011-2012,0.4444444444444444,Percentile: 44.4
1990-11-23,21014,2012-11-23,0,46,37,0,2,2012-11-23T18:30:02Z,2012,11,47,328,78,2012-2013,0.20634920634920634,Percentile: 20.6
1990-11-23,21374,2013-11-23,0.23,31,13,1,8,2013-11-23T18:30:02Z,2013,11,47,327,77,2013-2014,0.4444444444444444,Percentile: 44.4
1990-11-23,21729,2014-11-23,0.13,34,20,0,10,2015-02-05T20:07:51Z,2014,11,47,327,77,2014-2015,0.5079365079365079,Percentile: 50.8
1990-11-23,22091,2015-11-23,0,27,10,0,2,2015-11-23T18:30:04Z,2015,11,47,327,77,2015-2016,0.20634920634920634,Percentile: 20.6
1990-11-23,22434,2016-11-23,0.12,18,13,0.2,14,2016-11-23T18:30:01Z,2016,11,47,328,78,2016-2017,0.7142857142857143,Percentile: 71.4
1990-11-23,22792,2017-11-23,0.03,22,4,0.4,11,2017-11-23T18:30:09Z,2017,11,47,327,77,2017-2018,0.5555555555555556,Percentile: 55.6
1990-11-23,23133,2018-11-23,0.01,21,-4,0,23,2019-01-04T18:39:10Z,2018,11,47,327,77,2018-2019,0.873015873015873,Percentile: 87.3
1990-11-23,23467,2019-11-23,0.06,27,10,0,7,2019-11-23T23:30:02Z,2019,11,47,327,77,2019-2020,0.42857142857142855,Percentile: 42.9
1990-11-23,23818,2020-11-23,0.54,40,22,3,6,2020-11-23T23:30:02Z,2020,11,47,328,78,2020-2021,0.3968253968253968,Percentile: 39.7
1990-11-23,24171,2021-11-23,0.06,23,11,1,9,2021-11-23T23:30:01Z,2021,11,47,327,77,2021-2022,0.49206349206349204,Percentile: 49.2
1990-11-24,24,1954-11-24,0.01,24,20,0.2,2,2002-10-10T12:46:18Z,1954,11,47,328,78,1954-1955,0.19047619047619047,Percentile: 19
1990-11-24,389,1955-11-24,0,36,8,0,4,2002-10-10T12:46:18Z,1955,11,47,328,78,1955-1956,0.3492063492063492,Percentile: 34.9
1990-11-24,755,1956-11-24,0,10,-5,0,14,2002-10-10T12:46:18Z,1956,11,47,329,79,1956-1957,0.6825396825396826,Percentile: 68.3
1990-11-24,1485,1958-11-24,0.1,27,9,0.5,2,2002-10-10T12:46:18Z,1958,11,47,328,78,1958-1959,0.19047619047619047,Percentile: 19
1990-11-24,1850,1959-11-24,0.01,41,23,0,6,2002-10-10T12:46:18Z,1959,11,47,328,78,1959-1960,0.3968253968253968,Percentile: 39.7
1990-11-24,2216,1960-11-24,0,29,19,0,0,2002-10-10T12:46:18Z,1960,11,47,329,79,1960-1961,0,Percentile: 0
1990-11-24,2581,1961-11-24,0.2,35,25,2,3,2002-10-10T12:46:18Z,1961,11,47,328,78,1961-1962,0.2857142857142857,Percentile: 28.6
1990-11-24,2946,1962-11-24,0.22,22,17,2,12,2002-10-10T12:46:18Z,1962,11,47,328,78,1962-1963,0.5873015873015873,Percentile: 58.7
1990-11-24,3311,1963-11-24,0.36,45,-6,0,0,2002-10-10T12:46:18Z,1963,11,47,328,78,1963-1964,0,Percentile: 0
1990-11-24,3616,1964-11-24,0,23,15,0,2,2002-10-10T12:46:18Z,1964,11,47,329,79,1964-1965,0.19047619047619047,Percentile: 19
1990-11-24,3981,1965-11-24,0,22,16,0,24,2002-10-10T12:46:18Z,1965,11,47,328,78,1965-1966,0.8888888888888888,Percentile: 88.9
1990-11-24,4346,1966-11-24,0,45,36,0,0,2002-10-10T12:46:18Z,1966,11,47,328,78,1966-1967,0,Percentile: 0
1990-11-24,4711,1967-11-24,1.16,26,15,5,29,2002-10-10T12:46:18Z,1967,11,47,328,78,1967-1968,0.9682539682539683,Percentile: 96.8
1990-11-24,5077,1968-11-24,0.24,39,21,0,28,2002-10-10T12:46:18Z,1968,11,47,329,79,1968-1969,0.9523809523809523,Percentile: 95.2
1990-11-24,5442,1969-11-24,0.76,27,10,6,12,2002-10-10T12:46:18Z,1969,11,47,328,78,1969-1970,0.5873015873015873,Percentile: 58.7
1990-11-24,5807,1970-11-24,0.2,17,5,2,15,2002-10-10T12:46:18Z,1970,11,47,328,78,1970-1971,0.746031746031746,Percentile: 74.6
1990-11-24,6172,1971-11-24,0,12,2,0,2,2002-10-10T12:46:18Z,1971,11,47,328,78,1971-1972,0.19047619047619047,Percentile: 19
1990-11-24,6538,1972-11-24,0.28,22,10,1,17,2002-10-10T12:46:18Z,1972,11,47,329,79,1972-1973,0.7936507936507936,Percentile: 79.4
1990-11-24,6903,1973-11-24,0,37,25,0,3,2002-10-10T12:46:18Z,1973,11,47,328,78,1973-1974,0.2857142857142857,Percentile: 28.6
1990-11-24,7268,1974-11-24,0.1,40,14,0,14,2002-10-10T12:46:18Z,1974,11,47,328,78,1974-1975,0.6825396825396826,Percentile: 68.3
1990-11-24,7816,1976-11-24,0.29,24,12,4,37,2002-10-10T12:46:18Z,1976,11,47,329,79,1976-1977,1,Percentile: 100
1990-11-24,8181,1977-11-24,0.3,33,19,NA,6,2002-10-10T12:46:18Z,1977,11,47,328,78,1977-1978,0.3968253968253968,Percentile: 39.7
1990-11-24,8546,1978-11-24,0.34,29,11,2,3,2002-10-10T12:46:18Z,1978,11,47,328,78,1978-1979,0.2857142857142857,Percentile: 28.6
1990-11-24,8911,1979-11-24,0.05,51,40,0,0,2002-10-10T12:46:18Z,1979,11,47,328,78,1979-1980,0,Percentile: 0
1990-11-24,9277,1980-11-24,0.34,36,30,0,24,2002-10-10T12:46:18Z,1980,11,47,329,79,1980-1981,0.8888888888888888,Percentile: 88.9
1990-11-24,9642,1981-11-24,0.04,22,10,0.5,29,2002-10-10T12:46:18Z,1981,11,47,328,78,1981-1982,0.9682539682539683,Percentile: 96.8
1990-11-24,10007,1982-11-24,0.5,45,18,1.5,2,2002-10-10T12:46:18Z,1982,11,47,328,78,1982-1983,0.19047619047619047,Percentile: 19
1990-11-24,10372,1983-11-24,0.22,38,25,0,10,2002-10-10T12:46:18Z,1983,11,47,328,78,1983-1984,0.5079365079365079,Percentile: 50.8
1990-11-24,10738,1984-11-24,0.25,24,18,0,12,2002-10-10T12:46:18Z,1984,11,47,329,79,1984-1985,0.5873015873015873,Percentile: 58.7
1990-11-24,11103,1985-11-24,0.1,23,19,1,2,2002-10-10T12:46:18Z,1985,11,47,328,78,1985-1986,0.19047619047619047,Percentile: 19
1990-11-24,11468,1986-11-24,0,33,23,0,13,2002-10-10T12:46:18Z,1986,11,47,328,78,1986-1987,0.6349206349206349,Percentile: 63.5
1990-11-24,11833,1987-11-24,0,35,30,0,4,2002-10-10T12:46:18Z,1987,11,47,328,78,1987-1988,0.3492063492063492,Percentile: 34.9
1990-11-24,12199,1988-11-24,0,21,10,0,18,2002-10-10T12:46:18Z,1988,11,47,329,79,1988-1989,0.8095238095238095,Percentile: 81
1990-11-24,12564,1989-11-24,0.25,13,-1,NA,18,2002-10-10T12:46:18Z,1989,11,47,328,78,1989-1990,0.8095238095238095,Percentile: 81
1990-11-24,12929,1990-11-24,0.51,35,21,4,19,2002-10-10T12:46:18Z,1990,11,47,328,78,1990-1991,0.8571428571428571,Percentile: 85.7
1990-11-24,13294,1991-11-24,0.18,39,27,0,0,2002-10-10T12:46:18Z,1991,11,47,328,78,1991-1992,0,Percentile: 0
1990-11-24,13660,1992-11-24,0,38,26,0,1,2002-10-10T12:46:18Z,1992,11,47,329,79,1992-1993,0.1111111111111111,Percentile: 11.1
1990-11-24,14025,1993-11-24,0,30,8,0,1,2002-10-10T12:46:18Z,1993,11,47,328,78,1993-1994,0.1111111111111111,Percentile: 11.1
1990-11-24,14390,1994-11-24,0,7,-2,0,1,2002-10-10T12:46:18Z,1994,11,47,328,78,1994-1995,0.1111111111111111,Percentile: 11.1
1990-11-24,14755,1995-11-24,0.08,22,6,0.3,11,2002-10-10T12:46:18Z,1995,11,47,328,78,1995-1996,0.5555555555555556,Percentile: 55.6
1990-11-24,15121,1996-11-24,0.35,21,-1,2.5,13,2002-10-10T12:46:18Z,1996,11,47,329,79,1996-1997,0.6349206349206349,Percentile: 63.5
1990-11-24,15486,1997-11-24,0.43,24,12,4.5,18,2002-10-10T12:46:18Z,1997,11,47,328,78,1997-1998,0.8095238095238095,Percentile: 81
1990-11-24,15851,1998-11-24,0.3,44,NA,2,14,2002-10-10T12:46:18Z,1998,11,47,328,78,1998-1999,0.6825396825396826,Percentile: 68.3
1990-11-24,16216,1999-11-24,0.03,48,44,0,7,2002-10-10T12:46:18Z,1999,11,47,328,78,1999-2000,0.4444444444444444,Percentile: 44.4
1990-11-24,16549,2000-11-24,0.02,16,-2,0.02,16,2009-10-23T12:54:50Z,2000,11,47,329,79,2000-2001,0.7777777777777778,Percentile: 77.8
1990-11-24,16885,2001-11-24,0,37,28,0,1,2002-10-10T12:46:18Z,2001,11,47,328,78,2001-2002,0.1111111111111111,Percentile: 11.1
1990-11-24,17231,2002-11-24,0.19,23,10,1,24,2002-11-24T19:30:05Z,2002,11,47,328,78,2002-2003,0.8888888888888888,Percentile: 88.9
1990-11-24,17586,2003-11-24,0,48,36,0,9,2003-11-24T18:30:07Z,2003,11,47,328,78,2003-2004,0.49206349206349204,Percentile: 49.2
1990-11-24,18293,2005-11-24,0.11,19,3,1,15,2005-11-24T18:30:09Z,2005,11,47,328,78,2005-2006,0.746031746031746,Percentile: 74.6
1990-11-24,18654,2006-11-24,0,44,31,0,0,2006-11-24T18:30:16Z,2006,11,47,328,78,2006-2007,0,Percentile: 0
1990-11-24,18874,2007-11-24,0.12,13,1,3,27,2007-11-24T18:30:02Z,2007,11,47,328,78,2007-2008,0.9365079365079365,Percentile: 93.7
1990-11-24,19234,2008-11-24,0,23,5,0,10,2008-11-24T19:30:01Z,2008,11,47,329,79,2008-2009,0.5079365079365079,Percentile: 50.8
1990-11-24,19811,2009-11-24,0,41,30,0,0,2009-11-24T18:30:01Z,2009,11,47,328,78,2009-2010,0,Percentile: 0
1990-11-24,20165,2010-11-24,0.14,42,13,0,1,2011-05-25T16:52:04Z,2010,11,47,328,78,2010-2011,0.1111111111111111,Percentile: 11.1
1990-11-24,20530,2011-11-24,0,26,16,0,8,2011-11-24T18:30:02Z,2011,11,47,328,78,2011-2012,0.4603174603174603,Percentile: 46
1990-11-24,21015,2012-11-24,0.48,42,13,3,5,2012-11-24T18:30:02Z,2012,11,47,329,79,2012-2013,0.38095238095238093,Percentile: 38.1
1990-11-24,21375,2013-11-24,0.5,14,-2,5.2,14,2013-11-24T18:30:02Z,2013,11,47,328,78,2013-2014,0.6825396825396826,Percentile: 68.3
1990-11-24,22092,2015-11-24,0.03,18,9,0.3,3,2015-11-24T20:30:04Z,2015,11,47,328,78,2015-2016,0.2857142857142857,Percentile: 28.6
1990-11-24,22435,2016-11-24,0.11,30,16,1,13,2016-11-24T18:30:02Z,2016,11,47,329,79,2016-2017,0.6349206349206349,Percentile: 63.5
1990-11-24,22793,2017-11-24,0,29,13,0,11,2017-11-24T18:30:02Z,2017,11,47,328,78,2017-2018,0.5555555555555556,Percentile: 55.6
1990-11-24,23134,2018-11-24,0,34,11,0,20,2019-01-04T18:39:10Z,2018,11,47,328,78,2018-2019,0.873015873015873,Percentile: 87.3
1990-11-24,23468,2019-11-24,0.05,33,21,1,8,2019-11-24T23:30:02Z,2019,11,47,328,78,2019-2020,0.4603174603174603,Percentile: 46
1990-11-24,23819,2020-11-24,0,22,10,0,6,2020-11-24T23:30:01Z,2020,11,47,329,79,2020-2021,0.3968253968253968,Percentile: 39.7
1990-11-24,24172,2021-11-24,0.04,27,11,1,10,2021-11-24T23:30:02Z,2021,11,47,328,78,2021-2022,0.5079365079365079,Percentile: 50.8
1990-11-25,25,1954-11-25,0.3,28,19,NA,6,2002-10-10T12:46:18Z,1954,11,47,329,79,1954-1955,0.390625,Percentile: 39.1
1990-11-25,390,1955-11-25,0,18,8,0,4,2002-10-10T12:46:18Z,1955,11,47,329,79,1955-1956,0.265625,Percentile: 26.6
1990-11-25,756,1956-11-25,0,14,-7,0,14,2002-10-10T12:46:18Z,1956,11,48,330,80,1956-1957,0.703125,Percentile: 70.3
1990-11-25,1486,1958-11-25,0.04,20,5,0,2,2002-10-10T12:46:18Z,1958,11,47,329,79,1958-1959,0.15625,Percentile: 15.6
1990-11-25,1851,1959-11-25,0.59,45,19,1.5,8,2002-10-10T12:46:18Z,1959,11,47,329,79,1959-1960,0.421875,Percentile: 42.2
1990-11-25,2217,1960-11-25,0,35,22,0,0,2002-10-10T12:46:18Z,1960,11,48,330,80,1960-1961,0,Percentile: 0
1990-11-25,2582,1961-11-25,0.35,32,19,2,4,2002-10-10T12:46:18Z,1961,11,47,329,79,1961-1962,0.265625,Percentile: 26.6
1990-11-25,2947,1962-11-25,0,25,18,0,12,2002-10-10T12:46:18Z,1962,11,47,329,79,1962-1963,0.546875,Percentile: 54.7
1990-11-25,3312,1963-11-25,0,15,NA,0,0,2002-10-10T12:46:18Z,1963,11,47,329,79,1963-1964,0,Percentile: 0
1990-11-25,3617,1964-11-25,0,39,5,0,2,2002-10-10T12:46:18Z,1964,11,48,330,80,1964-1965,0.15625,Percentile: 15.6
1990-11-25,3982,1965-11-25,0,26,17,0,22,2002-10-10T12:46:18Z,1965,11,47,329,79,1965-1966,0.890625,Percentile: 89.1
1990-11-25,4347,1966-11-25,0.21,45,37,0,0,2002-10-10T12:46:18Z,1966,11,47,329,79,1966-1967,0,Percentile: 0
1990-11-25,4712,1967-11-25,0,24,17,0,27,2002-10-10T12:46:18Z,1967,11,47,329,79,1967-1968,0.953125,Percentile: 95.3
1990-11-25,5078,1968-11-25,0.52,32,15,2,28,2002-10-10T12:46:18Z,1968,11,48,330,80,1968-1969,0.96875,Percentile: 96.9
1990-11-25,5443,1969-11-25,0,25,7,0,12,2002-10-10T12:46:18Z,1969,11,47,329,79,1969-1970,0.546875,Percentile: 54.7
1990-11-25,5808,1970-11-25,0.15,15,4,3,18,2002-10-10T12:46:18Z,1970,11,47,329,79,1970-1971,0.796875,Percentile: 79.7
1990-11-25,6173,1971-11-25,0.86,21,9,13,15,2002-10-10T12:46:18Z,1971,11,47,329,79,1971-1972,0.71875,Percentile: 71.9
1990-11-25,6539,1972-11-25,0.42,25,20,1,17,2002-10-10T12:46:18Z,1972,11,48,330,80,1972-1973,0.75,Percentile: 75
1990-11-25,6904,1973-11-25,0.37,41,22,0,3,2002-10-10T12:46:18Z,1973,11,47,329,79,1973-1974,0.234375,Percentile: 23.4
1990-11-25,7269,1974-11-25,0.66,40,14,4,12,2002-10-10T12:46:18Z,1974,11,47,329,79,1974-1975,0.546875,Percentile: 54.7
1990-11-25,7817,1976-11-25,0.19,18,13,1,36,2002-10-10T12:46:18Z,1976,11,48,330,80,1976-1977,1,Percentile: 100
1990-11-25,8182,1977-11-25,0,27,17,0,6,2002-10-10T12:46:18Z,1977,11,47,329,79,1977-1978,0.390625,Percentile: 39.1
1990-11-25,8547,1978-11-25,0.56,26,5,5,8,2002-10-10T12:46:18Z,1978,11,47,329,79,1978-1979,0.421875,Percentile: 42.2
1990-11-25,8912,1979-11-25,0.85,50,37,0,0,2002-10-10T12:46:18Z,1979,11,47,329,79,1979-1980,0,Percentile: 0
1990-11-25,9278,1980-11-25,0.46,35,20,0.5,24,2002-10-10T12:46:18Z,1980,11,48,330,80,1980-1981,0.921875,Percentile: 92.2
1990-11-25,9643,1981-11-25,0,23,10,0,28,2002-10-10T12:46:18Z,1981,11,47,329,79,1981-1982,0.96875,Percentile: 96.9
1990-11-25,10008,1982-11-25,0.8,30,5,3.1,4,2002-10-10T12:46:18Z,1982,11,47,329,79,1982-1983,0.265625,Percentile: 26.6
1990-11-25,10373,1983-11-25,1.84,38,20,7,17,2002-10-10T12:46:18Z,1983,11,47,329,79,1983-1984,0.75,Percentile: 75
1990-11-25,10739,1984-11-25,0,32,22,0,12,2002-10-10T12:46:18Z,1984,11,48,330,80,1984-1985,0.546875,Percentile: 54.7
1990-11-25,11104,1985-11-25,0.06,20,8,0.5,2,2002-10-10T12:46:18Z,1985,11,47,329,79,1985-1986,0.15625,Percentile: 15.6
1990-11-25,11469,1986-11-25,0.06,26,17,0.3,12,2002-10-10T12:46:18Z,1986,11,47,329,79,1986-1987,0.546875,Percentile: 54.7
1990-11-25,11834,1987-11-25,0.29,32,25,NA,5,2002-10-10T12:46:18Z,1987,11,47,329,79,1987-1988,0.359375,Percentile: 35.9
1990-11-25,12200,1988-11-25,0,24,18,0,18,2002-10-10T12:46:18Z,1988,11,48,330,80,1988-1989,0.796875,Percentile: 79.7
1990-11-25,12565,1989-11-25,0.1,19,4,NA,18,2002-10-10T12:46:18Z,1989,11,47,329,79,1989-1990,0.796875,Percentile: 79.7
1990-11-25,12930,1990-11-25,0.06,30,19,0.5,18,2002-10-10T12:46:18Z,1990,11,47,329,79,1990-1991,0.796875,Percentile: 79.7
1990-11-25,13295,1991-11-25,0.64,28,17,4,4,2002-10-10T12:46:18Z,1991,11,47,329,79,1991-1992,0.265625,Percentile: 26.6
1990-11-25,13661,1992-11-25,0.41,31,25,2,2,2002-10-10T12:46:18Z,1992,11,48,330,80,1992-1993,0.15625,Percentile: 15.6
1990-11-25,14026,1993-11-25,0,20,-3,0,1,2002-10-10T12:46:18Z,1993,11,47,329,79,1993-1994,0.125,Percentile: 12.5
1990-11-25,14391,1994-11-25,0.01,20,4,1,2,2002-10-10T12:46:18Z,1994,11,47,329,79,1994-1995,0.15625,Percentile: 15.6
1990-11-25,14756,1995-11-25,0,27,6,0,11,2002-10-10T12:46:18Z,1995,11,47,329,79,1995-1996,0.515625,Percentile: 51.6
1990-11-25,15122,1996-11-25,0.1,19,10,0.5,12,2002-10-10T12:46:18Z,1996,11,48,330,80,1996-1997,0.546875,Percentile: 54.7
1990-11-25,15487,1997-11-25,0.2,14,0,2.5,21,2002-10-10T12:46:18Z,1997,11,47,329,79,1997-1998,0.875,Percentile: 87.5
1990-11-25,15852,1998-11-25,0.05,29,19,0,13,2002-10-10T12:46:18Z,1998,11,47,329,79,1998-1999,0.6875,Percentile: 68.8
1990-11-25,16217,1999-11-25,0,48,26,0,4,2002-10-10T12:46:18Z,1999,11,47,329,79,1999-2000,0.265625,Percentile: 26.6
1990-11-25,16550,2000-11-25,0,25,4,0,15,2002-10-10T12:46:18Z,2000,11,48,330,80,2000-2001,0.71875,Percentile: 71.9
1990-11-25,16886,2001-11-25,0.1,48,34,0,1,2002-10-10T12:46:18Z,2001,11,47,329,79,2001-2002,0.125,Percentile: 12.5
1990-11-25,17232,2002-11-25,0.02,22,17,0,23,2009-10-23T12:53:31Z,2002,11,47,329,79,2002-2003,0.90625,Percentile: 90.6
1990-11-25,17587,2003-11-25,0.49,48,17,3,11,2003-11-25T20:30:08Z,2003,11,47,329,79,2003-2004,0.515625,Percentile: 51.6
1990-11-25,18294,2005-11-25,0.25,18,-2,3,17,2005-11-25T19:30:09Z,2005,11,47,329,79,2005-2006,0.75,Percentile: 75
1990-11-25,18655,2006-11-25,0,46,31,0,0,2006-11-25T18:30:15Z,2006,11,47,329,79,2006-2007,0,Percentile: 0
1990-11-25,18875,2007-11-25,0.07,25,9,0.2,24,2007-11-25T18:30:01Z,2007,11,47,329,79,2007-2008,0.921875,Percentile: 92.2
